2021-05-03 03:04:24,635: 	 --> [INFO] 	 Starting DataFrames Cleaning...
2021-05-03 03:04:24,635: 	 --> [DEBUG] 	 Going to Clean_DataFrames function
2021-05-03 03:04:24,746: 	 --> [INFO] 	 Starting drop/rename...
2021-05-03 03:07:45,943: 	 --> [DEBUG] 	 drop rows that not contains MIO_NAC in column: MEASURE &                               Drop the MEASURE column from GBARD df
2021-05-03 03:07:46,630: 	 --> [DEBUG] 	 drop rows that not contains 'OECD', 'EUN', 'NOA',              'EUR', 'OCD', 'AFR', 'LAC', 'WLD', 'BRICS' in column: LOCATION
2021-05-03 03:07:50,542: 	 --> [DEBUG] 	 drop rows that not contains 'EXCH' & columns: MEASURE, TRANSACT
2021-05-03 03:07:50,545: 	 --> [INFO] 	 number dfs: 3, name of dfs: ['slim_gbard', 'slim_agricultural', 'slim_currncy']
2021-05-03 03:07:50,546: 	 --> [DEBUG] 	 Going to sorted_dfs function
2021-05-03 03:07:50,546: 	 --> [INFO] 	 Starting 2 sort dfs by values...
2021-05-03 03:07:50,611: 	 --> [DEBUG] 	 Finished sort values by SEO & COMMODITY & VARIABLE
2021-05-03 03:07:50,612: 	 --> [DEBUG] 	 Going to checkIfnull function
2021-05-03 03:07:50,612: 	 --> [INFO] 	 Starting Cleaning null values...
2021-05-03 03:07:50,621: 	 --> [DEBUG] 	 Going to df2USA_currency function
2021-05-03 03:07:50,621: 	 --> [INFO] 	 Starting Converting currency 2 USD...
2021-05-03 03:07:50,623: 	 --> [INFO] 	 Chosen SEO: NABS06
2021-05-03 03:07:50,624: 	 --> [INFO] 	 Chosen country: AUS
2021-05-03 03:07:50,625: 	 --> [INFO] 	 Chosen country years limits: 1990 - 2019
2021-05-03 03:07:50,665: 	 --> [DEBUG] 	 In 2020 there's an empty value for AUS
2021-05-03 03:07:50,666: 	 --> [INFO] 	 Chosen country: AUT
2021-05-03 03:07:50,667: 	 --> [INFO] 	 Chosen country years limits: 1990 - 2020
2021-05-03 03:07:50,711: 	 --> [INFO] 	 Chosen country: BEL
2021-05-03 03:07:50,713: 	 --> [INFO] 	 Chosen country years limits: 1990 - 2019
2021-05-03 03:07:50,753: 	 --> [DEBUG] 	 In 2020 there's an empty value for BEL
2021-05-03 03:07:50,753: 	 --> [INFO] 	 Chosen country: CAN
2021-05-03 03:07:50,755: 	 --> [INFO] 	 Chosen country years limits: 1990 - 2016
2021-05-03 03:07:50,794: 	 --> [DEBUG] 	 In 2017 there's an empty value for CAN
2021-05-03 03:07:50,795: 	 --> [DEBUG] 	 In 2018 there's an empty value for CAN
2021-05-03 03:07:50,795: 	 --> [DEBUG] 	 In 2019 there's an empty value for CAN
2021-05-03 03:07:50,796: 	 --> [DEBUG] 	 In 2020 there's an empty value for CAN
2021-05-03 03:07:50,796: 	 --> [INFO] 	 Chosen country: CHE
2021-05-03 03:07:50,797: 	 --> [INFO] 	 Chosen country years limits: 1990 - 2017
2021-05-03 03:07:50,800: 	 --> [WARNING] 	 This error occurred: list index out of range
2021-05-03 03:07:50,804: 	 --> [WARNING] 	 This error occurred: list index out of range
2021-05-03 03:07:50,807: 	 --> [WARNING] 	 This error occurred: list index out of range
2021-05-03 03:07:50,810: 	 --> [WARNING] 	 This error occurred: list index out of range
2021-05-03 03:07:50,814: 	 --> [WARNING] 	 This error occurred: list index out of range
2021-05-03 03:07:50,817: 	 --> [WARNING] 	 This error occurred: list index out of range
2021-05-03 03:07:50,820: 	 --> [WARNING] 	 This error occurred: list index out of range
2021-05-03 03:07:50,823: 	 --> [WARNING] 	 This error occurred: list index out of range
2021-05-03 03:07:50,827: 	 --> [WARNING] 	 This error occurred: list index out of range
2021-05-03 03:07:50,829: 	 --> [WARNING] 	 This error occurred: list index out of range
2021-05-03 03:07:50,833: 	 --> [WARNING] 	 This error occurred: list index out of range
2021-05-03 03:07:50,836: 	 --> [WARNING] 	 This error occurred: list index out of range
2021-05-03 03:07:50,840: 	 --> [WARNING] 	 This error occurred: list index out of range
2021-05-03 03:07:50,842: 	 --> [DEBUG] 	 In 2018 there's an empty value for CHE
2021-05-03 03:07:50,842: 	 --> [DEBUG] 	 In 2019 there's an empty value for CHE
2021-05-03 03:07:50,842: 	 --> [DEBUG] 	 In 2020 there's an empty value for CHE
2021-05-03 03:07:50,842: 	 --> [INFO] 	 Chosen country: DEU
2021-05-03 03:07:50,844: 	 --> [INFO] 	 Chosen country years limits: 1990 - 2019
2021-05-03 03:07:50,883: 	 --> [DEBUG] 	 In 2020 there's an empty value for DEU
2021-05-03 03:07:50,883: 	 --> [INFO] 	 Chosen country: DNK
2021-05-03 03:07:50,885: 	 --> [INFO] 	 Chosen country years limits: 1990 - 2020
2021-05-03 03:07:50,928: 	 --> [INFO] 	 Chosen country: ESP
2021-05-03 03:07:50,929: 	 --> [INFO] 	 Chosen country years limits: 1990 - 2019
2021-05-03 03:07:50,969: 	 --> [DEBUG] 	 In 2020 there's an empty value for ESP
2021-05-03 03:07:50,969: 	 --> [INFO] 	 Chosen country: FIN
2021-05-03 03:07:50,971: 	 --> [INFO] 	 Chosen country years limits: 1990 - 2019
2021-05-03 03:07:51,012: 	 --> [DEBUG] 	 In 2020 there's an empty value for FIN
2021-05-03 03:07:51,013: 	 --> [INFO] 	 Chosen country: FRA
